rewire_id,text,label_sexist,label_category,label_vector,,,
sexism2022_english 18152,"Weev your mom says you've got internet addiction. Put down the memes dude, we care about you.",not sexist,none,none,,,
sexism2022_english 16366,"Hahaha, why didnt you say that to my face you little bitch? How surprisingly feminine of you to talk shit behind my back little boy. Afraid of confrontation? You'll never be the man your mother is.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
sexism2022_english 12731,"ya I thought so, everything you said she basically said in the convo.",not sexist,none,none,,,
sexism2022_english 17692,That's a roundabout way of saying you pulled 84 out of your ass.,not sexist,none,none,,,
sexism2022_english 12413,Remember when the German lady was kicked from behind down the stairs? Well here's the scum that did it URL #MEGA #SpeakFreely #GabFam,not sexist,none,none,,,
sexism2022_english 15614,"Meanwhile, Jane Austen and the Bronte sisters had much less that Atwood, yet their heroines are stronger AND more interesting to read 3 centuries later. Why is that?... URL ",not sexist,none,none,,,
sexism2022_english 18223,"You think Gen Z is going to be bad, just wait for the Millenial's kids to hit college age",not sexist,none,none,,,
sexism2022_english 17461,"Awesome stuff You remained confident, this is really important. Mucho balls to you",not sexist,none,none,,,
sexism2022_english 17341,This is possible. But I'm not so sure. I got her number and she messaged me first a few hrs later. She waa definitely super in to me. But she's also got like 10k followers on IG so I always assumed someone was in her DMs and all that.,not sexist,none,none,,,
sexism2022_english 16455,"The address given on the forms is a mailing box, before anyone makes any doxxing accusations. I've never seen an internet marketer with an address to a physical office, always these mail dumps.",not sexist,none,none,,,
sexism2022_english 6106,Wonder how ISIS is enjoying the US military now that Obama no longer has their hands tied behind their back? Happy Independence Day ISIS. From America with love. URL #MAGA,not sexist,none,none,,,
sexism2022_english 7608,"Some hard core women haters use mgtow as an excuse, not a lifestyle.",not sexist,none,none,,,
sexism2022_english 2964,I asked his dumbass why he fell for her. She has that gross cow ring on her nose. Ugly af and he gets sexy bitches.,sexist,2. derogation,2.1 descriptive attacks,,,
sexism2022_english 15184,"Yes, because she made a mistake,she SHOULD pay for it. It was her mistake not society's. I'm all for legit help for someone in need but people who fuck around, don't use protection and then expect to get bailed out can go screw",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,,,
sexism2022_english 12515,"I actually don't think there is anything wrong with the ad. She may have done extraordinarily, but that does not reflect poorly on men nor well upon women. It just means she is extraordinary, each sex has some extraordinary people.",not sexist,none,none,,,
sexism2022_english 9555,the first thing though is GETTING the girl to come to yours... thats the real challenge.,not sexist,none,none,,,
sexism2022_english 11816,They want it to be LGBTP.,not sexist,none,none,,,
sexism2022_english 19341,"hotter girls have higher bitch shields and shit test more, its called the hot shit paradox lol",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
sexism2022_english 3155,4 year old girl came home from daycare with 2 capsules of crack cocaine URL URL ,not sexist,none,none,,,
sexism2022_english 3294," USER somebody said in a post anasef is on gab, i haven't seen any post from her on gab ?",not sexist,none,none,,,
sexism2022_english 17584,If one of them young adult was a child if miune she or he wouldn't hear the last of my mouth.I would bless them out so.protests in to walk and hold a pole with something saying how you feel or think.we have enough of Snowflake.,not sexist,none,none,,,
sexism2022_english 11435,Because it was a political witch hunt to keep him out and it failed horribly,not sexist,none,none,,,
sexism2022_english 3048,I wish they'd thrown the commie race traitor bitch down fucked her to death.,sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,,,
sexism2022_english 18377, USER Is that Hitlery? looks like her hips and ass,sexist,2. derogation,2.2 aggressive and emotive attacks,,,
sexism2022_english 13992,"Nope, nothing happened. She never filed a police report... she just ""confided"" in the right people and the rumor mill did the rest. A lot of politics in the military, and even rumors destroy people.",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,,,
sexism2022_english 14297,Yet they'll continue to have buff shirtless men who dehydrated and starve themselves in order to give the ladies their tingles,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,,,
sexism2022_english 16805,"She's Jezabel incarnate, the prefect catalyst for real revolution, that's what I'm saying She's an actual witch , not kidding , like literally satanic .",sexist,2. derogation,2.2 aggressive and emotive attacks,,,
sexism2022_english 6746," USER Yeah, but MY based sphere is well armed, trained and likes to kick ass and chew bubblegum..... URL #BananaForScale",not sexist,none,none,,,
sexism2022_english 11647,She may be worth what someone paid for her in terms of stimulating walking away.,sexist,2. derogation,2.3 dehumanising attacks overt sexual objectification,,,
sexism2022_english 8721,"Yeah, well, plenty of men have been hit by women without ever being able to hit back, so I am not eager to cry a river.",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,,,
sexism2022_english 17434,"and the bank called. came here from reading how a former female model who made 45 mil pounds has now to couch surf, as her mansion is being collected by debt collectors :P",not sexist,none,none,,,
sexism2022_english 6886,The crooked Democrats are already screeching that it's sexist to have a woman doing it...just as they would have screeched that it was sexist to have a man do it. Because the goal is to prevent his confirmation by any means possible.,not sexist,none,none,,,
sexism2022_english 3957,You cant stay with someone who is falsely accusing you of violence in front of the police. Get out. If she contacts you get a reatraining order. This is a survival situation and you cant be in denial about that.,not sexist,none,none,,,
sexism2022_english 616,SHITBRICKS? ,not sexist,none,none,,,
sexism2022_english 12817,This asshole has no idea what he's talking about. Kind of like Franken.,not sexist,none,none,,,
sexism2022_english 16425,"We already knew she won't say ""jew""; add ""commie"".",not sexist,none,none,,,
sexism2022_english 7250,"Rot in hell bitch. You are a disgrace to aunties, moms, and law abiding US citizens. You deserve to lose all that you ve gained?from your corrupt political practices.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
sexism2022_english 1860,you don't praise women who act like cunts :( must be an incel,sexist,2. derogation,2.2 aggressive and emotive attacks,,,
sexism2022_english 7303,sounds like you re still living in the 1950s. and maybe think about why women have to rest so much while pregnant maybe even ask your mother i m sure she d be disappointed,not sexist,none,none,,,
sexism2022_english 14556,Does that wolverine faggot ever stop talking? FFS Have a wonderful day. : ),not sexist,none,none,,,
sexism2022_english 1387,"You should have said ""wtf dude you don't want me to tell your gf your smoking, your gf don't want me to tell you she's fucking your friends, it's getting to be too much for me to remember.""",not sexist,none,none,,,
sexism2022_english 16787,I just came across this as a ''normie'' I really thought the group was a joke or a huge troll job. I really hope those guys in that group get some help they need it.,not sexist,none,none,,,
sexism2022_english 15860,"When I don't like a girl, who is not 'right' for me: I give her a can of porks and beans, stick an apple in her mouth, and throw her out the door.",sexist,"1. threats, plans to harm and incitement",1.1 threats of harm,,,
sexism2022_english 18938,How the hell have they not arrested that maniac who ran a grieving mother down because she couldn't unload a property because of the location of the murder of two girls? Death penalty is all I'm saying.,not sexist,none,none,,,
sexism2022_english 8476,Yet women in the developing world seemingly have the balls to go into STEM in vastly higher numbers than the daughters of first world feminism. Very strange....,sexist,3. animosity,3.3 backhanded gendered compliments,,,
sexism2022_english 3673,"Late teens are like the easiest girls to have sex with, why compicate shit?",sexist,2. derogation,2.3 dehumanising attacks overt sexual objectification,,,
sexism2022_english 10924,But first.... That bitch better get her ass in the kitchen and make me a sammich.,sexist,2. derogation,2.2 aggressive and emotive attacks,,,
sexism2022_english 5771, USER This attack destroys Merkel. There is no way she isn't going to fiddle with the official narrative She is just like Obama with that shit,not sexist,none,none,,,
sexism2022_english 12662,"Get tough looking guy friends, then have them accompany you when you go to ask out girls. They'll never say no, because of the implication.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,,,
sexism2022_english 7387, IncelTears (TM) Because you should protect the woman you breastmog. ,not sexist,none,none,,,
sexism2022_english 10753,"Puerto Rico is ""completely devastated,"" yet the mayor of San Juan found a silk screen place to print her a shirt that says ""help us, we're dying?"" This is CNN #FakeNews and propaganda #Ghost",not sexist,none,none,,,
sexism2022_english 12132,"I'd appreciate if you added more details about what you actually said to her, what you guys talked about, did you do any kino at the bar, how did you flirt with this girl initially? Besides NGAF it would help me if you gave more details.",not sexist,none,none,,,
sexism2022_english 7784,And the real women still have yours ,not sexist,none,none,,,
sexism2022_english 4354,Probably some dude wrote it and her dad has no clue because he cut ties with his trashy daughter or left her mom long ago.,not sexist,none,none,,,
sexism2022_english 8966, USER A truly awesome movie. She was is the most sinister female in all movie history. Brilliant.,not sexist,none,none,,,
sexism2022_english 16284,"An accident is an accident and excusable. If I smelt bleach though, I'd push it down her neck, woman or no woman ",sexist,"1. threats, plans to harm and incitement",1.1 threats of harm,,,
sexism2022_english 16799,Why am I not surprised that ToroFA is implying that she's a dirty dishrag whore? Ghost of True Capitalist Radio is right. Women are a menace to society in America.,sexist,2. derogation,2.1 descriptive attacks,,,
sexism2022_english 7881,UK: Police told victim of Muslim rape gang not to mention the ethnicity of her rapists URL ,not sexist,none,none,,,
sexism2022_english 18155," USER ""I can smell her dying from here."" :)",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,,,
sexism2022_english 3747,David Hogg you are 27 years old what are you still doing in High school? You are a plant for the FBI and CNN go away you had you 15 minutes of fame thanks to George Soros. Someone need to put you over their knee and spank you snotty nosed punk.,not sexist,none,none,,,
sexism2022_english 4073," USER they'll keep her going. Even if they have to steer her by remote control, like in ""spocks brain""",not sexist,none,none,,,
sexism2022_english 4765,"I ve been rejected by countless obese, and objectively very unattractive women, I understand some men just aren t attractive enough for anyone",not sexist,none,none,,,
sexism2022_english 12531,Intentionally spill some wine on her and hope she takes off her clothes,sexist,2. derogation,2.3 dehumanising attacks overt sexual objectification,,,
sexism2022_english 4025,I mean I'm poor as shit tho. 12'' 2figure 7'10'' i guess no women will love me :(,not sexist,none,none,,,
sexism2022_english 8153,Ikr. I'm so envious of women who are short with LONG LEGS Women in generally with long legs look so much better in comparison to those of the same height with short legs,not sexist,none,none,,,
sexism2022_english 2204,"I never Seriously, have you? WTF is wrong? She has more hair on her chest than a lot of guys have lol",sexist,2. derogation,2.1 descriptive attacks,,,
sexism2022_english 10177,Literally what happens to every wet suit or cloth in general for that matter. Shit clings to you like latex to a bdsm sub.,not sexist,none,none,,,
sexism2022_english 11830,Stop being a fuckin pussy and tell her to grow the fuck up.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
sexism2022_english 18981,1406 BCE. Your grandmas pussy must be dry as fuck ,sexist,2. derogation,2.2 aggressive and emotive attacks,,,
sexism2022_english 8323,If she's paying all the bills he's a deadbeat leech. I don't like leeches regardless of gender.,not sexist,none,none,,,
sexism2022_english 14081,A simple femoid who can not resist Chad's allure,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,,,
sexism2022_english 3312,An insufferable NPCUNT. She ask for his name and she turn it into sexual harassment.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
sexism2022_english 15543,"Insecurity is gross. Call her out on her bratty behaviour (yes, sometimes this means continuing EVEN AFTER she starts crying) or dump her asap.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,,,
sexism2022_english 8631,Deception is their stock and trade.,not sexist,none,none,,,
sexism2022_english 9194,"Tommy Robinson and Alex Jones and Drudge and others exposed people who rape and murder 5 year old boys and girls. If you hate Tommy, you are then therefore accessories, indirectly, to those rapes and murders.",not sexist,none,none,,,
sexism2022_english 6549, URL Proof that the meth head bitch who ripped her own eyes out in South Carolina is a coal burner. Now she's a blind whore with a cunt that stinks like nigger shit stink and AIDS.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
sexism2022_english 4349,"But hey, more niggers and goat fucking Muslims is the answer ",not sexist,none,none,,,
sexism2022_english 10558,"as if a virgin woman can't figure out within the first 5 seconds of sex how to lay there and take it and moan a little bit, all they need to do for good sex",sexist,2. derogation,2.3 dehumanising attacks overt sexual objectification,,,
sexism2022_english 661,"I don't give a rat's ass what this woman's professional accomplishments are. In fact, I question if she legitimately has any accomplishments. Why? Because she is a liar and liars cannot be trusted, ever.",not sexist,none,none,,,
sexism2022_english 8853,4) corporate whores,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
sexism2022_english 12158,Germany: Seven #Muslim #migrants #sexually #assault three #teenage #girls on downtown street (seven men are between 15 and 17 years of age ) URL ,not sexist,none,none,,,
sexism2022_english 4521,"Couldn't agree more. on a side note, Papa used to wear a dildo on his head and go sarging. Style is pretty much the definition of how being feminine can work.",not sexist,none,none,,,
sexism2022_english 16394,"Well we already had a feminist doctor killing off patients (Fuck you Dr. Barton, burn in hell cunt.) This is not surprising. The government want the men dead, and they'll get every woman in on it that they can.",sexist,2. derogation,2.2 aggressive and emotive attacks,,,
sexism2022_english 1551,Yes. I also talk up the guys. I also love my grocery store.,not sexist,none,none,,,
sexism2022_english 4766,Because she's a skank.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
